gene_id,transcript_id(s),MYBS102_1i,MYBS104_1h,MYCF52_5f,MYCF52_5g,MYCF52_5i,MYCF52_5j,MYCF52_6i,MYCF53_6d,MYCF55_3g,MYCF55_3h,MYCF56_4a,MYCF56_4b,MYCF56_4d,MYCF56_4e,MYCF62_3d,MYCF62_3f,MYCF62_3g,MYCF62_3h,MYCF63_3e,MYCF63_3f,MYCF63_3h,MYCF64_3f,MYCF64_4g,MYCF65_3h
ENSMUSG00000000001,ENSMUST00000000001,2542,2159,1840,1953,1706,1363,971,881,1056,1402,1719,1156,1902,1554,2078,1576,1669,2019,3218,2190,2984,1812,2872,2924
ENSMUSG00000000003,"ENSMUST00000000003,ENSMUST00000114041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,"ENSMUST00000000028,ENSMUST00000096990,ENSMUST00000115585,ENSMUST00000231819",183,108,131,144,76,27,68,33,70,86,83,49,105,86,194,29,94,91,317,117,192,83,140,286
ENSMUSG00000000031,"ENSMUST00000132294,ENSMUST00000136359,ENSMUST00000140716,ENSMUST00000149974,ENSMUST00000152754,ENSMUST00000228259,ENSMUST00000228514",1265,392,183,509,234,218,228,333,72,193,288,118,497,313,973,1179.06,1098,1131,1129,522,1864,713.36,496,2432
ENSMUSG00000000037,"ENSMUST00000019101,ENSMUST00000074802,ENSMUST00000077375,ENSMUST00000087090,ENSMUST00000101113,ENSMUST00000112345,ENSMUST00000124775",30,17,28,39,67,11,2,15,11,22,21,11,43,21,32,16,29,38,71,28,57,13,24,47
ENSMUSG00000000049,"ENSMUST00000000049,ENSMUST00000133383,ENSMUST00000146050,ENSMUST00000152958",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0
ENSMUSG00000000056,"ENSMUST00000103015,ENSMUST00000151088,ENSMUST00000154047",610,733,335,344,265,303,272,173,220,254,417,404,350,395,342,400,315,413,562,199,529,625,420,539
ENSMUSG00000000058,"ENSMUST00000000058,ENSMUST00000115459,ENSMUST00000115462",964,553,883,644,489,862,521,467,668,672,723,256,732,851,908,1124,789,1180,1090,991,842,984,708,869
ENSMUSG00000000078,"ENSMUST00000000080,ENSMUST00000221734,ENSMUST00000222857",13409,9620,7615,10034,8221,5679,3779,4092,4373,6313,6928,3479,8287,5502,12419,7424,9313,8074,12696,13481,12243,8684,13274,15771
ENSMUSG00000000085,"ENSMUST00000000087,ENSMUST00000064991,ENSMUST00000106298,ENSMUST00000106301,ENSMUST00000122860,ENSMUST00000132116,ENSMUST00000133169,ENSMUST00000133290,ENSMUST00000134375,ENSMUST00000136801,ENSMUST00000144555,ENSMUST00000144862,ENSMUST00000151345,ENSMUST00000153099",420,388,427,403,348,368,218,183,190,258,285,218,408,318,395,421,388,517,632,458,615,432,290,461
