gene_id,transcript_id(s),6 Wk MYC neg,6 Wk MYC neg,6 Wk MYC neg,6 Wk MYC neg,6 Wk MYC neg,6 Wk MYC neg,6 Wk MYC POS,6 Wk MYC POS,6 Wk MYC POS,6 Wk MYC POS,6 Wk MYC POS,6 Wk MYC POS,12 Wk MYC neg,12 Wk MYC neg,12 Wk MYC neg,12 Wk MYC neg,12 Wk MYC neg,12 Wk MYC neg,12 Wk MYC pos,12 Wk MYC pos,12 Wk MYC pos,12 Wk MYC pos,12 Wk MYC pos,12 Wk MYC pos
ENSMUSG00000000001,ENSMUST00000000001,3218,2190,2984,1812,1576,2019,2159,2872,2924,2078,2542,1669,1156,1902,1554,1706,1363,881,1056,1402,1719,971,1840,1953
ENSMUSG00000000003,"ENSMUST00000000003,ENSMUST00000114041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,"ENSMUST00000000028,ENSMUST00000096990,ENSMUST00000115585,ENSMUST00000231819",317,117,192,83,29,91,108,140,286,194,183,94,49,105,86,76,27,33,70,86,83,68,131,144
ENSMUSG00000000031,"ENSMUST00000132294,ENSMUST00000136359,ENSMUST00000140716,ENSMUST00000149974,ENSMUST00000152754,ENSMUST00000228259,ENSMUST00000228514",1129,522,1864,713.36,1179.06,1131,392,496,2432,973,1265,1098,118,497,313,234,218,333,72,193,288,228,183,509
ENSMUSG00000000037,"ENSMUST00000019101,ENSMUST00000074802,ENSMUST00000077375,ENSMUST00000087090,ENSMUST00000101113,ENSMUST00000112345,ENSMUST00000124775",71,28,57,13,16,38,17,24,47,32,30,29,11,43,21,67,11,15,11,22,21,2,28,39
ENSMUSG00000000049,"ENSMUST00000000049,ENSMUST00000133383,ENSMUST00000146050,ENSMUST00000152958",0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000000056,"ENSMUST00000103015,ENSMUST00000151088,ENSMUST00000154047",562,199,529,625,400,413,733,420,539,342,610,315,404,350,395,265,303,173,220,254,417,272,335,344
ENSMUSG00000000058,"ENSMUST00000000058,ENSMUST00000115459,ENSMUST00000115462",1090,991,842,984,1124,1180,553,708,869,908,964,789,256,732,851,489,862,467,668,672,723,521,883,644
ENSMUSG00000000078,"ENSMUST00000000080,ENSMUST00000221734,ENSMUST00000222857",12696,13481,12243,8684,7424,8074,9620,13274,15771,12419,13409,9313,3479,8287,5502,8221,5679,4092,4373,6313,6928,3779,7615,10034
ENSMUSG00000000085,"ENSMUST00000000087,ENSMUST00000064991,ENSMUST00000106298,ENSMUST00000106301,ENSMUST00000122860,ENSMUST00000132116,ENSMUST00000133169,ENSMUST00000133290,ENSMUST00000134375,ENSMUST00000136801,ENSMUST00000144555,ENSMUST00000144862,ENSMUST00000151345,ENSMUST00000153099",632,458,615,432,421,517,388,290,461,395,420,388,218,408,318,348,368,183,190,258,285,218,427,403
ENSMUSG00000000088,"ENSMUST00000000090,ENSMUST00000213678,ENSMUST00000214154",1203,582,993,462,396,533,687,1487,1134,1091,1091,476,236,459,334,430,295,178,279,315,530,253,581,556
ENSMUSG00000000093,ENSMUST00000000095,233,206,296,209,323,422,119,87,408,264,204,345,81,224,317,260,342,69,93,142,81,101,295,201
ENSMUSG00000000094,"ENSMUST00000000096,ENSMUST00000108045,ENSMUST00000108047",3,5,7,4,9,13,3,1,7,7,8,8,4,6,8,8,3,2,5,2,6,3,3,4
ENSMUSG00000000103,"ENSMUST00000115891,ENSMUST00000187148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,ENSMUST00000000122,184,163,190,227,56,289,91,53,211,54,109,95,35,62,72,56,52,20,71,47,26,55,70,59
ENSMUSG00000000125,ENSMUST00000000127,5,0,3,8,5,1,3,2,3,1,4,2,0,0,1,1,5,3,0,1,0,0,6,1
ENSMUSG00000000126,"ENSMUST00000000128,ENSMUST00000108783",31,29,44,48,53,78,29,14,35,29,32,33,13,20,52,24,74,12,30,18,23,31,34,20
