human_symbol,mouse_symbol,human_ensembl,mouse_ensembl,effect,pathway,is_core,is_mitochondrial,sources,in_GO,in_KEGG,in_Reactome,in_Hallmark,confidence,evidence_score,original_category,family_pathway,modality
AIFM1,Aifm1,ENSG00000156709,ENSMUSG00000036932,pro-death,both,TRUE,TRUE,"GO_Pro_Human,KEGG",TRUE,TRUE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,Caspase-independent apoptosis,Parthanatos
APAF1,Apaf1,ENSG00000120868,ENSMUSG00000019979,pro-death,apoptosis,TRUE,FALSE,"GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,Apoptosome,NA
ATG7,Atg7,ENSG00000197548,ENSMUSG00000030314,pro-death,CICD,TRUE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,Autophagy-dependent cell death
BAD,Bad,ENSG00000002330,ENSMUSG00000024959,pro-death,apoptosis,TRUE,TRUE,"GO_Pro_Human,KEGG,Reactome",TRUE,TRUE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BH3-only,NA
BAK1,Bak1,ENSG00000030110,ENSMUSG00000057789,pro-death,both,TRUE,TRUE,"GO_Pro_Human,Reactome",TRUE,FALSE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BCL2 family,MPT-driven necrosis
BAX,Bax,ENSG00000087088,ENSMUSG00000003873,pro-death,both,TRUE,TRUE,"GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BCL2 family,MPT-driven necrosis
BBC3,Bbc3,ENSG00000105327,ENSMUSG00000002083,pro-death,apoptosis,TRUE,TRUE,"GO_Pro_Human,Reactome",TRUE,FALSE,TRUE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BH3-only,NA
BCL2L11,Bcl2l11,ENSG00000153094,ENSMUSG00000027381,pro-death,apoptosis,TRUE,TRUE,"GO_Pro_Human,Hallmark,Reactome",TRUE,FALSE,TRUE,TRUE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,BH3-only,NA
BECN1,Becn1,ENSG00000126581,ENSMUSG00000035086,pro-death,CICD,TRUE,FALSE,GO_Pro_Human,TRUE,FALSE,FALSE,FALSE,ORIGINAL_ANNOTATION,2,Pro-apoptotic,NA,Autophagy-dependent cell death
BID,Bid,ENSG00000015475,ENSMUSG00000004446,pro-death,apoptosis,TRUE,TRUE,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",TRUE,TRUE,TRUE,TRUE,LIKELY,1,Ambiguous,BH3-only,NA
