"","sample","group","myc_status","timepoint","prefix","suffix","numeric_part","alphabetical_part"
"MYCF62_3f","MYCF62_3f","6W_neg","neg","6W","MYCF62","3f","3","f"
"MYCF62_3h","MYCF62_3h","6W_neg","neg","6W","MYCF62","3h","3","h"
"MYCF63_3e","MYCF63_3e","6W_neg","neg","6W","MYCF63","3e","3","e"
"MYCF63_3f","MYCF63_3f","6W_neg","neg","6W","MYCF63","3f","3","f"
"MYCF63_3h","MYCF63_3h","6W_neg","neg","6W","MYCF63","3h","3","h"
"MYCF64_3f","MYCF64_3f","6W_neg","neg","6W","MYCF64","3f","3","f"
"MYBS102_1i","MYBS102_1i","6W_pos","pos","6W","MYBS102","1i","1","i"
"MYBS104_1h","MYBS104_1h","6W_pos","pos","6W","MYBS104","1h","1","h"
"MYCF62_3d","MYCF62_3d","6W_pos","pos","6W","MYCF62","3d","3","d"
"MYCF62_3g","MYCF62_3g","6W_pos","pos","6W","MYCF62","3g","3","g"
"MYCF64_4g","MYCF64_4g","6W_pos","pos","6W","MYCF64","4g","4","g"
"MYCF65_3h","MYCF65_3h","6W_pos","pos","6W","MYCF65","3h","3","h"
"MYCF52_5i","MYCF52_5i","12W_neg","neg","12W","MYCF52","5i","5","i"
"MYCF52_5j","MYCF52_5j","12W_neg","neg","12W","MYCF52","5j","5","j"
"MYCF53_6d","MYCF53_6d","12W_neg","neg","12W","MYCF53","6d","6","d"
"MYCF56_4b","MYCF56_4b","12W_neg","neg","12W","MYCF56","4b","4","b"
"MYCF56_4d","MYCF56_4d","12W_neg","neg","12W","MYCF56","4d","4","d"
"MYCF56_4e","MYCF56_4e","12W_neg","neg","12W","MYCF56","4e","4","e"
"MYCF52_5f","MYCF52_5f","12W_pos","pos","12W","MYCF52","5f","5","f"
"MYCF52_5g","MYCF52_5g","12W_pos","pos","12W","MYCF52","5g","5","g"
"MYCF52_6i","MYCF52_6i","12W_pos","pos","12W","MYCF52","6i","6","i"
"MYCF55_3g","MYCF55_3g","12W_pos","pos","12W","MYCF55","3g","3","g"
"MYCF55_3h","MYCF55_3h","12W_pos","pos","12W","MYCF55","3h","3","h"
"MYCF56_4a","MYCF56_4a","12W_pos","pos","12W","MYCF56","4a","4","a"
