"","Symbol","P-Value","Adjusted P-Value","Median Pearson","Number of MYC mouse experiments in which the gene is differentially expressed"
"ENSG00000163811","WDR43",1.02606569225349e-39,1.11188582675358e-35,0.493997134940527,4
"ENSG00000155438","NIFK",1.11197021452323e-31,2.07754379873439e-28,0.456636629324506,4
"ENSG00000141101","NOB1",3.64178445808995e-32,8.35187741246607e-29,0.452614087081183,5
"ENSG00000136261","BZW2",1.26395405607673e-25,6.84835586663496e-23,0.451128485772748,5
"ENSG00000125630","POLR1B",7.1777312839955e-33,1.94451918214722e-29,0.44717079628201,4
"ENSG00000159131","GART",1.30719131834636e-34,4.27000527979037e-31,0.440391489678378,4
"ENSG00000115053","NCL",4.94633805086591e-39,4.46670813786694e-35,0.43753635499433,4
"ENSG00000163938","GNL3",5.52935606083792e-36,2.30455053914092e-32,0.43469375363478,5
"ENSG00000117877","CD3EAP",1.79689199617125e-30,2.56208426675133e-27,0.432547965587726,5
"ENSG00000161960","EIF4A1",3.82703678960944e-32,8.35187741246607e-29,0.427213633173781,5
"ENSG00000100462","PRMT5",8.06535635666155e-24,2.85619044520677e-21,0.416112716245488,5
"ENSG00000143179","UCK2",4.15346032304668e-29,4.78814440900671e-26,0.40413502150507,5
"ENSG00000171490","RSL1D1",3.5947232980979e-29,4.32820661638979e-26,0.398868817972907,5
"ENSG00000132382","MYBBP1A",5.25876150671597e-26,3.05027796040435e-23,0.394542620146674,5
"ENSG00000179409","GEMIN4",1.16614961298672e-22,3.25692362530136e-20,0.391203589617883,4
"ENSG00000082516","GEMIN5",7.16430342300644e-24,2.64065502085262e-21,0.388438828603661,4
"ENSG00000090621","PABPC4",7.8038279049559e-21,1.54672633662036e-18,0.388275318635545,5
"ENSG00000142864","SERBP1",2.06510891414078e-26,1.3163733080703e-23,0.384966830071606,4
"ENSG00000160818","GPATCH4",8.703193839197e-23,2.49500766452578e-20,0.378421133022272,5
"ENSG00000247626","MARS2",1.18166579883098e-29,1.48895386772697e-26,0.375045208939459,4
"ENSG00000068654","POLR1A",3.7065890440921e-24,1.40440844466432e-21,0.373341021677501,4
"ENSG00000101361","NOP56",2.00749730221796e-23,6.39824816639843e-21,0.372037311701823,5
"ENSG00000160208","RRP1B",1.32274573807535e-23,4.50748487927036e-21,0.37171951292662,5
"ENSG00000130713","EXOSC2",3.25710763626771e-22,8.55788839725673e-20,0.36967707797227,4
"ENSG00000175792","RUVBL1",2.32289501636197e-24,9.25434542474442e-22,0.367894363342082,4
"ENSG00000141076","CIRH1A",5.62876111036098e-19,7.51176193304381e-17,0.364894688844188,4
"ENSG00000181163","NPM1",1.52372545227158e-27,1.25088624931786e-24,0.364254862321084,5
"ENSG00000089157","RPLP0",6.55470854850468e-22,1.57144786980124e-19,0.361549871948071,4
"ENSG00000114491","UMPS",1.40338866730245e-24,5.94050037279541e-22,0.361538438346979,4
"ENSG00000166012","TAF1D",4.29499264856787e-26,2.58568101871894e-23,0.361041585460107,4
