Mitochondrial central dogma > mtDNA maintenance,"Apex1, Atad3a, Dna2, Endog, Exog, Lig3, Mettl4, Mgme1, Mterf1a, Mterf1b, Mterf2, Mutyh, Ogg1, Pif1, Polb, Poldip2, Polg, Polg2, Polq, Polrmt, Ppa2, Primpol, Recql4, Rnaseh1, Ssbp1, Tfam, Tfb2m, Top1mt, Top3a, Twnk, Ung"
Mitochondrial central dogma > mtRNA metabolism,"Alkbh1, Angel2, Cdk5rap1, Ddx28, Dhx30, Dus2, Elac2, Endog, Eral1, Fastk, Fastkd1, Fastkd2, Fastkd3, Fastkd5, Grsf1, Gtpbp3, Hsd17b10, Lactb2, Lrpprc, Mettl15, Mettl17, Mettl5, Mettl8, Mrm1, Mrm2, Mrm3, Mrpl12, Mrpl47, Mrps7, Mrps9, Mterf1a, Mterf1b, Mto1, Mtpap, Mtres1, Myg1, Ngrn, Noa1, Nsun2, Nsun3, Nsun4, Osgepl1, Pde12, Pnpt1, Polrmt, Ppa2, Prorp, Ptcd1, Ptcd2, Pus1, Qtrt1, Rcc1l, Rexo2, Rmnd1, Rnaseh1, Rpusd3, Rpusd4, Slirp, Supv3l1, Tbrg4, Tefm, Tfam, Tfb1m, Tfb2m, Thg1l, Top1mt, Trit1, Trmt1, Trmt10c, Trmt2b, Trmt5, Trmu, Trnt1, Trub2, Ybey, Yrdc"
Mitochondrial central dogma > Translation,"2810006K23Rik, Aars2, Aurkaip1, Cars2, Chchd1, Coa3, Cox14, Dap3, Dars2, Ddx28, Dhx30, Ears2, Eral1, Exd2, Fars2, Fastkd2, Gadd45gip1, Gars, Gatb, Gatc, Gfm1, Gfm2, Grsf1, Gtpbp10, Guf1, Hars2, Hemk1, Iars2, Kars, Lars2, Lrpprc, Malsu1, Mars2, Metap1d, Mettl17, Mief1, Mpv17l2, Mrm2, Mrm3, Mrpl1, Mrpl10, Mrpl11, Mrpl12, Mrpl13, Mrpl14, Mrpl15, Mrpl16, Mrpl17, Mrpl18, Mrpl19, Mrpl2, Mrpl20, Mrpl21, Mrpl22, Mrpl23, Mrpl24, Mrpl27, Mrpl28, Mrpl3, Mrpl30, Mrpl32, Mrpl33, Mrpl34, Mrpl35, Mrpl36, Mrpl37, Mrpl38, Mrpl39, Mrpl4, Mrpl40, Mrpl41, Mrpl42, Mrpl43, Mrpl44, Mrpl45, Mrpl46, Mrpl47, Mrpl48, Mrpl49, Mrpl50, Mrpl51, Mrpl52, Mrpl53, Mrpl54, Mrpl55, Mrpl57, Mrpl58, Mrpl9, Mrps10, Mrps11, Mrps12, Mrps14, Mrps15, Mrps16, Mrps17, Mrps18a, Mrps18b, Mrps18c, Mrps2, Mrps21, Mrps22, Mrps23, Mrps24, Mrps25, Mrps26, Mrps27, Mrps28, Mrps30, Mrps31, Mrps33, Mrps34, Mrps35, Mrps36, Mrps5, Mrps6, Mrps7, Mrps9, Mrrf, Mterf1a, Mterf3, Mterf4, Mtfmt, Mtg1, Mtg2, Mtif2, Mtif3, Mtres1, Mtrf1, Mtrf1l, Nars2, Ngrn, Noa1, Nsun4, Oxa1l, Pars2, Pdf, Ppa2, Ptcd3, Pusl1, Qrsl1, Rars2, Rbfa, Rmnd1, Sars2, Slirp, Taco1, Tars2, Tfb1m, Timm21, Tsfm, Tufm, Vars2, Wars2, Yars2, Ybey"
"Protein import, sorting and homeostasis > Protein import and sorting","Agk, Aifm1, Chchd4, Dnajc11, Dnajc15, Dnajc19, Gfer, Grpel1, Grpel2, Immp1l, Immp2l, Mipep, Mtx1, Mtx2, Nrd1, Oxa1l, Pam16, Pmpca, Pmpcb, Romo1, Samm50, Timm10, Timm10b, Timm13, Timm17a, Timm17b, Timm21, Timm22, Timm23, Timm29, Timm44, Timm50, Timm8a1, Timm8a2, Timm8b, Timm9, Tomm20, Tomm20l, Tomm22, Tomm34, Tomm40, Tomm40l, Tomm5, Tomm6, Tomm7, Tomm70a, Uqcrc1, Uqcrc2, Xpnpep3"
"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","Afg1l, Afg3l1, Afg3l2, Atad1, Atp23, Casp3, Casp9, Clpb, Clpp, Clpx, Htra2, Ide, Immp1l, Immp2l, Lactb, Lap3, Lonp1, Metap1d, Mipep, Nln, Oma1, Parl, Pitrm1, Pmpca, Pmpcb, Spg7, Usp30, Xpnpep3, Yme1l1"
"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones","Dnaja3, Dnlz, Fkbp10, Hspd1, Hspe1, Maip1, Nrd1, Phb, Phb2, Timm10, Timm10b, Timm13, Timm8a1, Timm8a2, Timm8b, Timm9, Trap1"
OXPHOS > OXPHOS subunits,"Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g1, Atp5g2, Atp5g3, Atp5h, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5md, Atp5mpl, Atp5o, Atp5pb, Atpif1, Cox4i1, Cox4i2, Cox5a, Cox5b, Cox6a1, Cox6a2, Cox6b1, Cox6b2, Cox6c, Cox7a1, Cox7a2, Cox7a2l, Cox7b, Cox7c, Cox8a, Cox8b, Cox8c, Cyc1, Cycs, Cyct, Dmac2l, Hccs, mt-Atp6, mt-Atp8, mt-Co1, mt-Co2, mt-Co3, mt-Cytb, mt-Nd1, mt-Nd2, mt-Nd3, mt-Nd4, mt-Nd4l, mt-Nd5, mt-Nd6, Ndufa1, Ndufa10, Ndufa11, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa4, Ndufa5, Ndufa6, Ndufa7, Ndufa8, Ndufa9, Ndufab1, Ndufb10, Ndufb11, Ndufb2, Ndufb3, Ndufb4, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs4, Ndufs5, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Sdha, Sdhb, Sdhc, Sdhd, Uqcr10, Uqcr11, Uqcrb, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq"
OXPHOS > OXPHOS assembly factors,"Acad9, Aifm1, Atpaf1, Atpaf2, Atpsckmt, Bcs1l, Cep89, Cmc1, Cmc2, Coa3, Coa4, Coa5, Coa6, Coa7, Coa8, Cox10, Cox11, Cox14, Cox15, Cox16, Cox17, Cox18, Cox19, Cox20, Cox7a2l, Dmac1, Dmac2, Ecsit, Fmc1, Foxred1, Higd1a, Higd2a, Lyrm2, Lyrm7, Ndufaf1, Ndufaf2, Ndufaf3, Ndufaf4, Ndufaf5, Ndufaf6, Ndufaf7, Ndufaf8, Nubpl, Pet100, Pet117, Pnkd, Rab5if, Sco1, Sco2, Sdhaf1, Sdhaf2, Sdhaf3, Sdhaf4, Smim20, Surf1, Taco1, Timm21, Timmdc1, Tmem126a, Tmem126b, Tmem177, Tmem186, Tmem70, Ttc19, Uqcc1, Uqcc2, Uqcc3"
Metabolism > Carbohydrate metabolism,"Abhd11, Acaa2, Acat1, Acly, Aco2, Acod1, Auh, Bdh1, Clybl, Cs, D2hgdh, Dcxr, Dlat, Dld, Dlst, Fahd1, Fh1, Glyctk, Gm4984, Got2, Gpd2, Hadhb, Hmgcl, Hmgcs2, Idh2, Idh3a, Idh3b, Idh3g, L2hgdh, Ldhal6b, Ldhd, Mcee, Mdh2, Me2, Me3, Mmut, Mpc1, Mpc2, Mrps36, Neu4, Ogdh, Ogdhl, Oxct1, Oxct2a, Pcca, Pccb, Pck2, Pcx, Pdha1, Pdha2, Pdhb, Pdhx, Pdk1, Pdk2, Pdk3, Pdk4, Pdp1, Pdp2, Pdpr, Rpia, Sdha, Sdhb, Sdhc, Sdhd, Sfxn5, Slc25a1, Slc25a10, Slc25a11, Slc25a12, Slc25a13, Sucla2, Suclg1, Suclg2"
Metabolism > Lipid metabolism,"Acaa1a, Acaa1b, Acaa2, Acaca, Acacb, Acad10, Acad11, Acad12, Acadl, Acadm, Acads, Acadsb, Acadvl, Acat1, Acot10, Acot11, Acot13, Acot2, Acot7, Acot9, Acp6, Acsf2, Acsf3, Acsl1, Acsl6, Acsm1, Acsm2, Acsm3, Acsm4, Acsm5, Acss1, Acss3, Agk, Agpat4, Agpat5, Akr1b7, Amacr, Cbr4, Chpt1, Cpt1a, Cpt1b, Cpt1c, Cpt2, Crat, Crls1, Crot, Cyb5r3, Cyp11a1, Cyp11b1, Cyp11b2, Cyp27a1, Dbi, Decr1, Dhrs1, Ech1, Echdc1, Echs1, Eci1, Eci2, Ehhadh, Ephx2, Etfa, Etfb, Etfdh, Fabp1, Fasn, Fdps, Fdx1, Fdxr, Gcsh, Gpam, Gpat2, H2-Ke6, Hadh, Hadha, Hadhb, Hao2, Hint2, Hsd17b10, Hsd17b4, Htd2, Idi1, Lactb, Lias, Lipt1, Lipt2, Lypla1, Lyplal1, Mcat, Mcee, Mecr, Mgst3, Mlycd, Mmut, Ndufab1, Osbpl1a, Oxsm, Pcca, Pccb, Pgs1, Phyh, Pisd, Pld6, Plscr3, Pnpla8, Prdx6, Prelid1, Prelid3a, Prelid3b, Ptges2, Ptpmt1, Scp2, Serac1, Slc25a1, Slc25a20, Sphk2, Sptlc2, Star, Stard7, Tamm41, Taz, Them4, Them5, Triap1, Tspo, Zadh2"
