TF,context,n_mito_total,n_oxphos,n_mitoribo,n_apoptosis_pro,n_apoptosis_anti,apop_balance,apoptosis_pro_genes,apoptosis_anti_genes,n_metab_other,k,frac,hyperg_p,bh_fdr
GTF3A,BA_LE,67,26,20,0,0,0,,,21,154,0.43506493506493504,2.6313633903806017e-45,5.7047958303451447e-42
SNAPC5,BA_LE,55,30,16,0,0,0,,,9,106,0.5188679245283019,1.3160962773706413e-42,1.4266483646697752e-39
SNAPC5,AP_LE,50,32,10,0,0,0,,,8,90,0.5555555555555556,8.364254211717268e-41,6.044567710334345e-38
THAP3,BA_LE,61,21,19,1,0,1,Bid,,20,149,0.40939597315436244,1.9735704553636426e-39,1.0696751868070942e-36
THAP4,BA_LE,61,20,20,0,0,0,,,21,163,0.37423312883435583,1.010700195626325e-36,4.382396048235745e-34
MYC,BA_LE,124,19,25,1,0,1,Bid,,79,700,0.17714285714285713,5.002107543428066e-35,1.8074281923586747e-32
MTERF3,BA_LE,48,13,16,0,0,0,,,19,108,0.4444444444444444,2.7889655923864563e-33,8.637824863276911e-31
HMGN3,BA_LE,89,32,20,0,0,0,,,37,399,0.22305764411027568,5.561327886243011e-33,1.413495332386356e-30
CHCHD3,BA_LE,50,19,11,0,0,0,,,20,120,0.4166666666666667,5.8678311768806295e-33,1.413495332386356e-30
ZNF511,BA_LE,69,19,21,0,0,0,,,29,242,0.28512396694214875,8.691325240354435e-33,1.8842793121088417e-30
THAP3,AP_LE,50,25,9,0,0,0,,,16,128,0.390625,2.413804726333496e-31,4.757389678810018e-29
GTF3A,AP_LE,49,27,8,0,0,0,,,14,134,0.3656716417910448,3.623650974880377e-29,6.546729427950547e-27
ZNF576,BA_LE,48,17,14,0,0,0,,,17,147,0.32653061224489793,4.748130560477796e-26,7.918420811627586e-24
NKX25,BA_LE,32,21,4,0,0,0,,,7,60,0.5333333333333333,8.651904291921079e-26,1.33980917892035e-23
TBP,BA_LE,82,17,18,2,0,2,"Bak1,Bid",,45,428,0.19158878504672897,1.192093183169104e-25,1.722972014073745e-23
HMGN3,AP_LE,70,34,12,0,0,0,,,24,320,0.21875,1.4285487135000727e-25,1.9356835067925985e-23
CHCHD3,AP_LE,41,22,8,0,0,0,,,11,107,0.38317757009345793,1.5545970473512579e-25,1.9825684697985453e-23
THAP4,AP_LE,46,23,8,1,0,1,Bok,,14,140,0.32857142857142857,3.794387282376696e-25,4.5701286823292645e-23
TCF15,AP_LE,43,29,5,0,0,0,,,9,122,0.3524590163934426,5.405365187725772e-25,6.167806172099723e-23
E2F1,BA_LE,114,20,21,2,0,2,"Bak1,Bid",,71,788,0.1446700507614213,2.8675977848111615e-24,3.108475998735299e-22
STAT3,BA_LE,91,20,19,1,0,1,Bak1,,51,542,0.16789667896678967,4.740206661729355e-24,4.893699067918687e-22
NKX25,AP_LE,29,25,2,0,0,0,,,2,53,0.5471698113207547,6.3973257295640694e-24,6.304273718952229e-22
TCF15,BA_LE,46,23,10,0,0,0,,,13,149,0.3087248322147651,7.561853953415504e-24,7.127869291741222e-22
ZNF232,BA_LE,51,17,14,0,0,0,,,20,187,0.2727272727272727,1.535827803674324e-23,1.3873644493191393e-21
CREB1,BA_LE,76,17,18,0,0,0,,,41,405,0.18765432098765433,2.9655630723276266e-23,2.571736296322518e-21
ZNF576,AP_LE,43,21,7,0,0,0,,,15,134,0.3208955223880597,3.9912761609403717e-23,3.3281102757379714e-21
ESRRA,AP_LE,47,22,8,0,0,0,,,17,165,0.28484848484848485,1.13676210265558e-22,9.127778661323324e-21
GATA1,BA_LE,89,14,19,0,0,0,,,56,565,0.15752212389380532,1.3839915676621741e-21,1.071604899532712e-19
ZNF32,BA_LE,39,20,9,0,0,0,,,10,121,0.32231404958677684,3.57500968394039e-21,2.6726279292354363e-19
ATF1,BA_LE,71,16,17,1,0,1,Bak1,,37,391,0.1815856777493606,6.14099155192508e-21,4.4378898948578575e-19
NR2C2,AP_LE,56,27,7,0,0,0,,,22,255,0.2196078431372549,9.194513872264431e-21,6.430227766151383e-19
BRF2,BA_LE,47,16,19,0,0,0,,,12,184,0.2554347826086957,1.7091160012693107e-20,1.157926090859958e-18
THAP1,BA_LE,66,11,17,1,0,1,Bid,,37,353,0.18696883852691218,3.064459571889821e-20,2.0132570763203433e-18
ZNF511,AP_LE,48,19,8,0,0,0,,,21,196,0.24489795918367346,4.5496148362393104e-20,2.9010485191078898e-18
MLX,BA_LE,34,5,12,2,0,2,"Bak1,Bid",,15,98,0.3469387755102041,8.753081533869479e-20,5.42190879012258e-18
JUN,BA_LE,89,15,21,2,0,2,"Bak1,Bid",,51,601,0.1480865224625624,9.33547569678163e-20,5.570377810912914e-18
ZNF706,BA_LE,36,18,7,0,0,0,,,11,111,0.32432432432432434,9.50664109796023e-20,5.570377810912914e-18
PREB,BA_LE,37,3,15,0,0,0,,,19,119,0.31092436974789917,1.4874336443472493e-19,8.486200370907465e-18
TCF7L2,BA_LE,73,13,16,0,0,0,,,44,440,0.16590909090909092,3.631597909932331e-19,2.01879596634187e-17
ZNF706,AP_LE,35,22,6,0,0,0,,,7,109,0.3211009174311927,4.450654139434448e-19,2.412254543573471e-17
ZNF232,AP_LE,45,20,9,0,0,0,,,16,183,0.2459016393442623,5.712379862239049e-19,3.020595010081526e-17
