GeneSet	Description	PValue	FDR	neg_log10_pval	Genes	GeneSetSize	gene_set	fold_enrichment	ratio_intersection_term	ratio_intersection_query
GO:0022612	gland morphogenesis	1.35381726196923e-11	1.35381726196923e-11	10.8684399526925	Pgr,Msx2,Ptn,Areg,Igfbp5,Ntn1,Gli1,Tbx3,Wnt4,Wnt5a,Tgm2,Igf1,Esr1,Fgfr1,Etv4,Il6,Bmp7,Plau,Ccl11,Ar,Ccl2,Snai2,Csf1,Prox1,Twsg1,Tnf,Sulf1,Foxa1	129	6onl_n	8.12137320044297	0.217054263565891	0.0571428571428571
GO:0009611	response to wounding	2.39864065849506e-10	2.39864065849506e-10	9.62003480902335	Fgg,Msx2,Krt6a,Ptn,Apod,Ndnf,P2ry1,Inhbb,Fgf2,Fgb,Flrt3,Gli1,Abhd2,F3,Alox12,F5,Ednra,Wnt4,Timp1,Map1b,Gas6,Wnt5a,Igf1,Pla2g4a,Stxbp1,Il6,Entpd1,Ano6,Plau,Smoc2,Chl1,Tfpi2,Fbln1,Procr,Ccl2,Snai2,Cadm4,Serpine1,Cd44,Hmox1,Selp,Matn2,Cd34,Dcbld2,Tnf,Rhoc,Cdkn1a,Entpd2,Prkca,Anxa2,Plat,Epha4,Tsku	469	6onl_n	3.98434475971789	0.113006396588486	0.101923076923077
GO:0009653	anatomical structure morphogenesis	3.42932147710109e-10	3.42932147710109e-10	9.46479180062818	Ptprz1,Pgr,Inhba,Cyp1b1,Trpc6,Cntnap2,Msx2,Krt6a,Itga2,Pappa2,Ptn,Col25a1,Kif5c,Upk3a,Ndnf,P2ry1,Areg,Igfbp5,Fgf2,Ptgs2,Lgr5,Ntn1,Hey1,Ugt8a,Cst3,Tnfrsf11b,Gfra1,Lratd1,Slc44a4,Flrt3,Grem2,Wnt5b,Chi3l1,Gli1,Hey2,F3,Map2,Tbx3,Fst,Alox12,Stc1,Lepr,Wnt7b,Cysltr1,Fzd3,Meis1,Crispld1,Etv1,Ednra,Thbs4,Wnt4,Aldh1a3,Map1b,Heyl,Wnt5a,Tgm2,Bcl6,Alcam,Ngfr,Igf1,Esr1,Jag1,Fgfr1,Aldh1a1,Gcnt4,Tm4sf1,Etv4,Egr2,Tuba1a,Stxbp1,Flrt2,Il6,Megf9,Bmp7,Nyap1,Plau,Rbm20,Smarcd3,Cemip2,Lpar1,Smoc2,Chl1,Vcam1,Ccl11,Sema3b,Ar,Prag1,Dcn,Reck,Frmd6,Ccl2,Nox4,Snai2,Map6,Tnfaip2,Adcy1,Chn1,Serpine1,Hoxb2,Zfp385a,Csf1,Cd44,Prox1,Twsg1,Hmox1,Tbx15,Ecscr,Enpp2,Nectin3,Sox6,Matn2,Vegfc,Sdc2,Emp2,Cd34,Itgav,Wls,Tnf,Ttbk2,Serpinf1,Emcn,Rhoc,Sulf1,Spred1,Hmcn2,Meis3,Tmt1a,S100a13,Itgb8,Ecm1,Adamts15,Camk1,Foxa1,Col11a1,Prkca,Anxa2,Csrp2,Map3k20,Cdon,Ago4,Lifr,Epha4,Efnb1,Tsku,Ugdh,Cd47,Anxa3,Tasor,Dlg4,Sema6d,Snx10,Rara,Id3	2316	6onl_n	2.1981559670124	0.0660621761658031	0.277676950998185
GO:0007155	cell adhesion	4.75248902136945e-10	4.75248902136945e-10	9.32307887771642	Ptprz1,Cyp1b1,Cntnap2,Fgg,Meltf,Lsamp,Itga2,Ptn,Apod,Cldn10,Ndnf,Ptprt,Ntn1,Fgb,Flrt3,Ntm,Lrrc4,Alox12,Pcdhb19,Astl,Wnt7b,Myoc,Thbs4,Wnt4,Sorbs3,Cd200,Pcdhb21,Icam5,Gas6,Wnt5a,Tgm2,Cldn11,Bcl6,Alcam,Igf1,Jag1,Pcdhgb1,Pcdhb20,Pcdhb15,Arhgap6,Pcdhb16,Otoa,Pcdhga4,Kitl,Stxbp1,Flrt2,Il6,Entpd1,Bmp7,Plau,Smarcd3,Smoc2,Chl1,Vcam1,Magi2,Fbln1,Ccl2,Snai2,Pcdhb17,Cadm4,Serpine1,Prnp,Ncam1,Csf1,Cd44,Pde5a,Col14a1,Twsg1,Epdr1,Sele,Selp,Enpp2,Pcdhgb6,Nectin3,Peak1,Pcdh1,Emp2,Cd34,Itgav,Fgl2,Tnf,Emcn,Sulf1,Lgals1,Hmcn2,Itgb8,Egflam,Pcdh18,Prkca,Anxa2,Cdon,Gcnt2,Epha4,Efnb1,Socs5,Cd47,Dlg4,Rara,Jak2,Nf1,Pcdhgc3	1238	6onl_n	2.6473386993009	0.0815831987075929	0.178761061946903
GO:0030334	regulation of cell migration	9.9044906379656e-10	9.9044906379656e-10	9.00416785417985	Ptprz1,Pgr,Cyp1b1,Itga2,Ptn,Apod,Igfbp5,Ptprt,Fgf2,Ptgs2,Ntn1,Wnt5b,Gli1,Abhd2,Alox12,Stc1,Myoc,Ednra,Thbs4,Tacr1,Wnt4,Timp1,Gas6,Wnt5a,Ngfr,Igf1,Jag1,Fgfr1,Mctp1,Kitl,Il1r1,Flrt2,Igfbp3,Bmp7,Ano6,Plau,Lpar1,Pfn2,Smoc2,Magi2,Ccl11,Fbln1,Dcn,Reck,Ccl2,Nox4,Snai2,Serpine1,Csf1,Prox1,Hmox1,Sele,Selp,Enpp2,Vegfc,Emp2,Itgav,Tnf,Ttbk2,Serpinf1,Rhoc,Sulf1,Spred1,Ecm1,Prkca,Mapre2,Gcnt2,Epha4,Cd47,Anxa3,Sema6d,Jak2,Nf1,Sema7a,Mgat5,Ssh1,App,Hyal2,Il6st,Akt3,Mospd2,Adam10,Lrig2,Bmpr2,Mecp2,Prr5l,Il33,Gnai2,Rock2	897	6onl_n	2.61739932468741	0.0992196209587514	0.128057553956835
GO:0042060	wound healing	1.39349509754684e-09	1.39349509754684e-09	8.8558945548388	Fgg,Msx2,Krt6a,Ndnf,P2ry1,Fgf2,Fgb,F3,Alox12,F5,Wnt4,Timp1,Gas6,Wnt5a,Igf1,Pla2g4a,Stxbp1,Il6,Entpd1,Ano6,Plau,Smoc2,Tfpi2,Fbln1,Procr,Ccl2,Snai2,Cadm4,Serpine1,Cd44,Hmox1,Selp,Cd34,Dcbld2,Tnf,Rhoc,Cdkn1a,Entpd2,Prkca,Anxa2,Plat,Tsku,Jak2,Nf1	336	6onl_n	4.302654036525	0.130952380952381	0.0788530465949821
GO:2000145	regulation of cell motility	1.68192241927495e-09	1.68192241927495e-09	8.77419404043932	Ptprz1,Pgr,Cyp1b1,Itga2,Ptn,Apod,Igfbp5,Ptprt,Fgf2,Ptgs2,Ntn1,Wnt5b,Gli1,Abhd2,Alox12,Stc1,Myoc,Ednra,Thbs4,Tacr1,Wnt4,Timp1,Gas6,Wnt5a,Bcl6,Ngfr,Igf1,Jag1,Fgfr1,Mctp1,Kitl,Il1r1,Flrt2,Igfbp3,Bmp7,Ano6,Plau,Lpar1,Pfn2,Smoc2,Magi2,Ccl11,Fbln1,Prag1,Dcn,Reck,Ccl2,Nox4,Snai2,Cadm4,Serpine1,Csf1,Prox1,Hmox1,Sele,Selp,Enpp2,Vegfc,Emp2,Itgav,Tnf,Ttbk2,Serpinf1,Rhoc,Sulf1,Spred1,Ecm1,Prkca,Mapre2,Gcnt2,Epha4,Cd47,Anxa3,Sema6d,Jak2,Nf1,Sema7a,Mgat5,Ssh1,App,Hyal2,Il6st,Akt3,Mospd2,Adam10,Lrig2,Bmpr2,Mecp2,Prr5l,Il33,Gnai2,Rock2	936	6onl_n	2.59289184037385	0.0982905982905983	0.132374100719424
GO:0040012	regulation of locomotion	6.8583821880996e-09	6.8583821880996e-09	8.1637783171858	Ptprz1,Pgr,Cyp1b1,Itga2,Ptn,Apod,Igfbp5,Ptprt,Fgf2,Ptgs2,Ntn1,Wnt5b,Gli1,Abhd2,Alox12,Stc1,Myoc,Ednra,Thbs4,Tacr1,Wnt4,Timp1,Gas6,Wnt5a,Bcl6,Ngfr,Igf1,Jag1,Fgfr1,Mctp1,Kitl,Il1r1,Flrt2,Igfbp3,Bmp7,Ano6,Plau,Lpar1,Pfn2,Smoc2,Magi2,Ccl11,Fbln1,Prag1,Dcn,Reck,Ccl2,Nox4,Snai2,Cadm4,Serpine1,Csf1,Prox1,Hmox1,Sele,Selp,Enpp2,Vegfc,Emp2,Itgav,Tnf,Ttbk2,Serpinf1,Rhoc,Sulf1,Spred1,Ecm1,Prkca,Mapre2,Gcnt2,Epha4,Cd47,Anxa3,Sema6d,Jak2,Nf1,Sema7a,Mgat5,Ssh1,App,Hyal2,Il6st,Sema5a,Akt3,Mospd2,Adam10,Lrig2,Bmpr2,Mecp2,Prr5l,Il33,Gnai2,Rock2	967	6onl_n	2.53704924374874	0.0961737331954498	0.133812949640288
GO:0040011	locomotion	4.93424884028149e-08	4.93424884028149e-08	7.30677895228527	Ptprz1,Pgr,Cyp1b1,Itga2,Ptn,Apod,Igfbp5,Ptprt,Fgf2,Ptgs2,Ntn1,Flrt3,Wnt5b,Gli1,Abhd2,Alox12,Stc1,Wnt7b,Cysltr1,Myoc,Ednra,Thbs4,Tacr1,Wnt4,Timp1,Gas6,Wnt5a,Bcl6,Ngfr,Igf1,Jag1,Fgfr1,Mctp1,Kitl,Il1r1,Flrt2,Igfbp3,Bmp7,Ano6,Plau,Lpar1,Pfn2,Smoc2,Vcam1,Magi2,Ccl11,Fbln1,Prag1,Dcn,Reck,Ccl2,Nox4,Snai2,Cadm4,Serpine1,Csf1,Cxcl1,Prox1,Hmox1,Sele,Selp,Ecscr,Enpp2,Vegfc,Emp2,Itgav,Tnf,Ttbk2,Serpinf1,Rhoc,Sulf1,Spred1,Ecm1,Prkca,Mapre2,Gcnt2,Epha4,Cd47,Anxa3,Sema6d,Jak2,Nf1,Sema7a,Mgat5,Ssh1,Vav3,App,Hyal2,Il6st,Sema5a,Akt3,Cxcl15,Mospd2,Adam10,Lrig2,Bmpr2,Mecp2,Prr5l,Il33,Gnai2,Rock2	1102	6onl_n	2.41775450782749	0.0916515426497278	0.145323741007194
GO:2000147	positive regulation of cell motility	7.6373966783614e-08	7.6373966783614e-08	7.11705465201237	Ptprz1,Pgr,Cyp1b1,Itga2,Ptn,Igfbp5,Fgf2,Ptgs2,Ntn1,Wnt5b,Gli1,Alox12,Myoc,Ednra,Thbs4,Tacr1,Gas6,Wnt5a,Bcl6,Igf1,Fgfr1,Kitl,Il1r1,Bmp7,Ano6,Plau,Lpar1,Smoc2,Ccl11,Fbln1,Ccl2,Nox4,Snai2,Serpine1,Csf1,Prox1,Hmox1,Sele,Selp,Enpp2,Vegfc,Itgav,Rhoc,Prkca,Mapre2,Gcnt2,Epha4,Cd47,Anxa3,Sema6d,Jak2,Sema7a,Mgat5,Ssh1,App,Il6st,Akt3,Mospd2,Adam10,Bmpr2,Gnai2,Rock2,Arhgef2	559	6onl_n	2.9020572450805	0.112701252236136	0.0884831460674157
