"gene_set","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection","neg_log10_pval"
"12onl","query_1",TRUE,0.0249118141665667,125,15,3,0.2,0.024,"MIRNA:mmu-miR-546","MIRNA","mmu-miR-546",18334,1780,"MIRNA:000000","MIRNA,MIRNA,MIRNA","Padi2,Zmat3,Rab11b",1.60359464444903
"both_n","query_1",TRUE,0.0107109460164963,358,13,4,0.307692307692308,0.0111731843575419,"MIRNA:mmu-miR-30e-5p","MIRNA","mmu-miR-30e-5p",18334,1474,"MIRNA:000000","MIRNA,MIRNA,MIRNA,MIRNA","Adam22,Prdm1,Zfp36l1,Nfat5",1.97017216954163
"6onl_n","query_1",TRUE,1.35381726196923e-11,129,490,28,0.0571428571428571,0.217054263565891,"GO:0022612","GO:BP","gland morphogenesis",18334,6619,"GO:0009887,GO:0048732","IMP,IMP,IMP ISO,IMP,IMP,IGI,IMP,IDA IMP IGI,IMP,IDA IMP IGI,IMP,IMP,IMP,IDA IMP,IDA IMP,IDA IMP,IDA IMP,ISO,IMP,IMP IGI,IEA,IMP,IMP,IMP,IMP,IDA IMP ISO IEA,IDA,IMP","Pgr,Msx2,Ptn,Areg,Igfbp5,Ntn1,Gli1,Tbx3,Wnt4,Wnt5a,Tgm2,Igf1,Esr1,Fgfr1,Etv4,Il6,Bmp7,Plau,Ccl11,Ar,Ccl2,Snai2,Csf1,Prox1,Twsg1,Tnf,Sulf1,Foxa1",10.8684399526925
"6onl_n","query_1",TRUE,2.39864065849506e-10,469,520,53,0.101923076923077,0.113006396588486,"GO:0009611","GO:BP","response to wounding",18334,3539,"GO:0006950","ISO IBA IEA,IMP,IMP,ISS ISO,ISS,IMP,IEA,ISS IEA,IMP ISO IBA IEA,ISO IBA IEA,ISS ISO IEA,IDA IMP,IMP,IEA,IMP,IDA IMP IBA IEA,IMP,IGI,IDA,IEA,IMP,ISO IEA,ISO IEA,ISO IEA,ISO IEA,IDA ISO,IDA ISS IEA,IMP ISO IEA,IMP IBA NAS,ISO IEA,IEA,IEA,ISO IEA,IEA,IDA ISO IEA,TAS,IMP ISO IBA IEA,IEA,IEA,ISO IEA,IMP,IMP,IEA,ISS ISO IBA IEA,IDA ISO IEA,ISS,IMP,IDA,IEA,IMP NAS,NAS,IMP ISO IEA,IMP","Fgg,Msx2,Krt6a,Ptn,Apod,Ndnf,P2ry1,Inhbb,Fgf2,Fgb,Flrt3,Gli1,Abhd2,F3,Alox12,F5,Ednra,Wnt4,Timp1,Map1b,Gas6,Wnt5a,Igf1,Pla2g4a,Stxbp1,Il6,Entpd1,Ano6,Plau,Smoc2,Chl1,Tfpi2,Fbln1,Procr,Ccl2,Snai2,Cadm4,Serpine1,Cd44,Hmox1,Selp,Matn2,Cd34,Dcbld2,Tnf,Rhoc,Cdkn1a,Entpd2,Prkca,Anxa2,Plat,Epha4,Tsku",9.62003480902335
"6onl_n","query_1",TRUE,3.42932147710109e-10,2316,551,153,0.277676950998185,0.0660621761658031,"GO:0009653","GO:BP","anatomical structure morphogenesis",18334,3571,"GO:0032502,GO:0048856","IDA ISO,IMP,IDA ISS ISO IEA,IMP,ISO,IMP,IMP IGI IBA,IMP IGI,ISO IEA,IMP,IMP ISO,IMP,IMP IBA,IMP,IMP ISS ISO IEA,ISS ISO IEA,IMP,IMP,IDA IGI ISS ISO IBA IEA,ISO IEA,IGI,IDA IMP IGI ISO IBA,IEA,IMP,ISO,IDA IEA,TAS,IEA,ISS,IMP ISS ISO IEA,IMP IBA,ISS TAS IEA,ISS ISO IEA,IMP IGI,IDA IMP IGI,IEA,IMP IGI ISO IEA,IDA IMP IGI ISS ISO IEA,IMP,ISO IEA,ISO IEA,ISS ISO IEA,IDA IMP IGI ISO IEA,ISO IEA,IMP IGI,IMP IBA,ISO IEA,IMP,IMP IGI ISO,ISO IEA,IDA IMP IGI ISO IEA,IMP IGI,IMP IGI ISO IBA IEA,IMP IGI,IDA IMP IGI ISO TAS IEA,IMP,IMP IGI,IMP ISS,IMP ISO IEA,IMP IGI,IMP,IMP ISS ISO IEA,IDA IMP IGI TAS,IGI,IMP IGI,IMP,IDA IMP,IDA IMP IGI,IMP,IMP,IMP IGI IEA,IDA IMP ISO,IBA,IDA IMP IGI ISO IEA,IDA IBA IEA,ISO,IMP ISO IEA,IMP,ISS IEA,IDA IMP,ISO IEA,IMP IEA,IMP,IMP ISO IEA,IEA,IMP IGI,ISS ISO IEA,ISO IEA,IMP IBA,IGI,IMP TAS IEA,IMP,IMP IGI TAS,ISS ISO IBA IEA,IEA,IMP,IDA IMP,IEA,IMP IGI IEA,IMP,IMP,IEA,IMP IEP ISO IEA,IMP IGI,ISO IEA,IMP IGI,IMP ISO IBA IEA,ISO IEA,IMP,IMP,IGI,IDA IMP ISO IBA IEA,IMP IBA,IMP ISS ISO IEA,ISS ISO IEA,ISO IBA NAS IEA,IMP IGI ISO IEA,IDA IMP ISO IEA,IMP,IDA ISO IBA IEA,ISS IEA,ISS,IDA ISS ISO IEA,IDA IMP ISO IEA,IEA,IBA,ISS ISO,ISO,ISS ISO IEA,ISS ISO IEA,IMP,ISO IEA,IMP IGI IBA,IMP IGI IEA,IEA,IMP IEA,IBA,IMP ISO IEA,IMP IGI,IMP,ISO,IDA IMP IGI ISO IBA IEA,IMP IBA,IMP,IMP,IEA,ISO IEA,IMP,IDA ISO,ISO IBA,IMP,IGI,IEP","Ptprz1,Pgr,Inhba,Cyp1b1,Trpc6,Cntnap2,Msx2,Krt6a,Itga2,Pappa2,Ptn,Col25a1,Kif5c,Upk3a,Ndnf,P2ry1,Areg,Igfbp5,Fgf2,Ptgs2,Lgr5,Ntn1,Hey1,Ugt8a,Cst3,Tnfrsf11b,Gfra1,Lratd1,Slc44a4,Flrt3,Grem2,Wnt5b,Chi3l1,Gli1,Hey2,F3,Map2,Tbx3,Fst,Alox12,Stc1,Lepr,Wnt7b,Cysltr1,Fzd3,Meis1,Crispld1,Etv1,Ednra,Thbs4,Wnt4,Aldh1a3,Map1b,Heyl,Wnt5a,Tgm2,Bcl6,Alcam,Ngfr,Igf1,Esr1,Jag1,Fgfr1,Aldh1a1,Gcnt4,Tm4sf1,Etv4,Egr2,Tuba1a,Stxbp1,Flrt2,Il6,Megf9,Bmp7,Nyap1,Plau,Rbm20,Smarcd3,Cemip2,Lpar1,Smoc2,Chl1,Vcam1,Ccl11,Sema3b,Ar,Prag1,Dcn,Reck,Frmd6,Ccl2,Nox4,Snai2,Map6,Tnfaip2,Adcy1,Chn1,Serpine1,Hoxb2,Zfp385a,Csf1,Cd44,Prox1,Twsg1,Hmox1,Tbx15,Ecscr,Enpp2,Nectin3,Sox6,Matn2,Vegfc,Sdc2,Emp2,Cd34,Itgav,Wls,Tnf,Ttbk2,Serpinf1,Emcn,Rhoc,Sulf1,Spred1,Hmcn2,Meis3,Tmt1a,S100a13,Itgb8,Ecm1,Adamts15,Camk1,Foxa1,Col11a1,Prkca,Anxa2,Csrp2,Map3k20,Cdon,Ago4,Lifr,Epha4,Efnb1,Tsku,Ugdh,Cd47,Anxa3,Tasor,Dlg4,Sema6d,Snx10,Rara,Id3",9.46479180062818
"6onl_n","query_1",TRUE,4.75248902136945e-10,1238,565,101,0.178761061946903,0.0815831987075929,"GO:0007155","GO:BP","cell adhesion",18334,2719,"GO:0009987","ISO,IMP,TAS IEA,ISO IBA IEA,ISO IEA,IEA,ISO IBA IEA,ISO,ISS ISO IEA,ISS IBA,IDA,ISO IEA,IGI,ISO IBA IEA,IDA IMP ISO IC IEA,IEA,ISO IBA IEA,IMP,IBA IEA,IMP,IMP,ISS ISO IEA,ISO IEA,IMP IGI,IDA IBA IEA,IEA,IBA IEA,IBA IEA,IMP,IDA ISO,IMP,IMP ISS IBA,IMP IGI ISO IEA,ISS ISO IBA IEA,ISO IEA,ISO IEA,IBA IEA,IBA IEA,IBA IEA,IDA ISO IEA,IBA NAS IEA,IMP IBA,IBA IEA,IDA IEA,ISO IEA,IMP IEA,IDA ISO,ISS IEA,IGI ISO IEA,ISO IBA IEA,NAS,IDA,IEA,IDA IMP ISO IBA IEA,ISO,ISO IEA,IMP ISO IEA,IMP ISO IEA,IBA IEA,IBA IEA,IEA,IMP,IEA,IGI,IEA,IMP,IEA,ISO IEA,IEA,IMP ISO IBA IEA,IMP ISS ISO IBA IEA,ISO,IBA IEA,IDA IBA IEA,ISS ISO IEA,IBA TAS IEA,IDA ISS ISO IBA IEA,ISS ISO IBA IEA,IDA ISS ISO IBA TAS NAS IEA,IMP,IDA ISO IEA,ISS IEA,ISS,IDA ISO NAS IEA,IBA IEA,NAS IEA,IDA,ISO IBA NAS IEA,IEA,IMP,ISO IBA TAS,ISO IEA,ISO IEA,IDA,IDA,IMP ISO IBA IEA,IBA,ISO IEA,IDA ISS ISO NAS IEA,IMP IGI,IBA TAS IEA","Ptprz1,Cyp1b1,Cntnap2,Fgg,Meltf,Lsamp,Itga2,Ptn,Apod,Cldn10,Ndnf,Ptprt,Ntn1,Fgb,Flrt3,Ntm,Lrrc4,Alox12,Pcdhb19,Astl,Wnt7b,Myoc,Thbs4,Wnt4,Sorbs3,Cd200,Pcdhb21,Icam5,Gas6,Wnt5a,Tgm2,Cldn11,Bcl6,Alcam,Igf1,Jag1,Pcdhgb1,Pcdhb20,Pcdhb15,Arhgap6,Pcdhb16,Otoa,Pcdhga4,Kitl,Stxbp1,Flrt2,Il6,Entpd1,Bmp7,Plau,Smarcd3,Smoc2,Chl1,Vcam1,Magi2,Fbln1,Ccl2,Snai2,Pcdhb17,Cadm4,Serpine1,Prnp,Ncam1,Csf1,Cd44,Pde5a,Col14a1,Twsg1,Epdr1,Sele,Selp,Enpp2,Pcdhgb6,Nectin3,Peak1,Pcdh1,Emp2,Cd34,Itgav,Fgl2,Tnf,Emcn,Sulf1,Lgals1,Hmcn2,Itgb8,Egflam,Pcdh18,Prkca,Anxa2,Cdon,Gcnt2,Epha4,Efnb1,Socs5,Cd47,Dlg4,Rara,Jak2,Nf1,Pcdhgc3",9.32307887771642
"6onl_n","query_1",TRUE,9.9044906379656e-10,897,695,89,0.128057553956835,0.0992196209587514,"GO:0030334","GO:BP","regulation of cell migration",18334,6780,"GO:0016477,GO:2000145","ISO,ISO,IMP ISO IEA,ISO IEA,IMP ISS ISO,ISS ISO IEA,ISO IEA,ISO IEA,IDA ISS ISO IBA IEA,ISO IEA,IDA IMP,ISO IEA,ISO,IMP,ISO IEA,ISO IEA,ISS ISO IEA,ISO,ISO IEA,ISO IEA,IGI,ISO IEA,ISO IEA,ISO IEA,ISO IEA,ISO IEA,ISO IEA,ISO IEA,ISO IEA,IDA,IMP ISO,IGI,ISO IEA,IGI,IMP ISO IEA,ISO IEA,ISO IEA,IMP ISO IEA,ISO IEA,ISS ISO,ISO IEA,ISO,ISO IEA,ISO IEA,IDA ISO IEA,ISO,ISO IC IEA,IEA,IGI ISO IEA,ISO IEA,ISO IEA,IMP IGI,IMP IGI ISO,ISO IEA,IDA ISO IBA IEA,ISS ISO IEA,IMP,ISO IEA,ISO IEA,ISO IEA,ISO IEA,ISS ISO IEA,IDA,IMP,IEA,IMP,ISO IEA,ISO IEA,ISO,ISO IEA,IDA IBA,ISS ISO IEA,IMP IGI ISO IEA,IBA,ISO IEA,ISO IEA,ISO IEA,ISS ISO IEA,ISO,ISO IEA,ISO IEA,ISO IEA,IGI,ISO IEA,ISO IEA,IMP ISO IEA,IGI,ISO IEA,IEA","Ptprz1,Pgr,Cyp1b1,Itga2,Ptn,Apod,Igfbp5,Ptprt,Fgf2,Ptgs2,Ntn1,Wnt5b,Gli1,Abhd2,Alox12,Stc1,Myoc,Ednra,Thbs4,Tacr1,Wnt4,Timp1,Gas6,Wnt5a,Ngfr,Igf1,Jag1,Fgfr1,Mctp1,Kitl,Il1r1,Flrt2,Igfbp3,Bmp7,Ano6,Plau,Lpar1,Pfn2,Smoc2,Magi2,Ccl11,Fbln1,Dcn,Reck,Ccl2,Nox4,Snai2,Serpine1,Csf1,Prox1,Hmox1,Sele,Selp,Enpp2,Vegfc,Emp2,Itgav,Tnf,Ttbk2,Serpinf1,Rhoc,Sulf1,Spred1,Ecm1,Prkca,Mapre2,Gcnt2,Epha4,Cd47,Anxa3,Sema6d,Jak2,Nf1,Sema7a,Mgat5,Ssh1,App,Hyal2,Il6st,Akt3,Mospd2,Adam10,Lrig2,Bmpr2,Mecp2,Prr5l,Il33,Gnai2,Rock2",9.00416785417985
"6onl_n","query_1",TRUE,1.39349509754684e-09,336,558,44,0.0788530465949821,0.130952380952381,"GO:0042060","GO:BP","wound healing",18334,9947,"GO:0009611","ISO IBA IEA,IMP,IMP,IMP,IEA,ISO IBA IEA,ISO IBA IEA,IEA,IMP,IDA IMP IBA IEA,IGI,IDA,IMP,ISO IEA,ISO IEA,ISO IEA,ISO IEA,ISO,IDA ISS IEA,IMP ISO IEA,IMP IBA NAS,ISO IEA,IEA,ISO IEA,IEA,ISO IEA,TAS,IMP ISO IBA IEA,IEA,IEA,ISO IEA,IMP,IEA,ISS ISO IBA IEA,ISO IEA,ISS,IMP,IDA,IEA,IMP NAS,NAS,IMP,ISO IEA,IMP","Fgg,Msx2,Krt6a,Ndnf,P2ry1,Fgf2,Fgb,F3,Alox12,F5,Wnt4,Timp1,Gas6,Wnt5a,Igf1,Pla2g4a,Stxbp1,Il6,Entpd1,Ano6,Plau,Smoc2,Tfpi2,Fbln1,Procr,Ccl2,Snai2,Cadm4,Serpine1,Cd44,Hmox1,Selp,Cd34,Dcbld2,Tnf,Rhoc,Cdkn1a,Entpd2,Prkca,Anxa2,Plat,Tsku,Jak2,Nf1",8.8558945548388
"6onl_n","query_1",TRUE,1.68192241927495e-09,936,695,92,0.132374100719424,0.0982905982905983,"GO:2000145","GO:BP","regulation of cell motility",18334,25493,"GO:0040012,GO:0048870,GO:0050794","ISO,ISO,IMP ISO IEA,ISO IEA,IMP ISS ISO,ISS ISO IEA,ISO IEA,ISO IEA,IDA ISS ISO IBA IEA,ISO IEA,IDA IMP ISS ISO,ISO IEA,ISO,IMP,ISO IEA,ISO IEA,ISS ISO IEA,ISO,ISO IEA,ISO IBA IEA,IGI,ISO IEA,ISO IEA,ISO IEA,IMP,ISO IEA,ISO IEA,ISO IEA,ISO IEA,ISO IEA,IDA,IMP ISO,IGI,ISO IEA,IGI,IMP ISO IEA,ISO IEA,ISO IEA,IMP ISO IEA,ISO IEA,ISS ISO,ISO IEA,ISO IEA,ISS ISO IEA,ISO IEA,ISO IEA,IDA ISO IEA,ISO,ISO IC IEA,IMP ISO IEA,IEA,IGI ISO IEA,ISO IEA,ISO IEA,IMP IGI,IMP IGI ISO,ISO IEA,IDA ISO IBA IEA,ISS ISO IEA,IMP,ISO IEA,ISO IEA,ISO IEA,ISO IEA,ISS ISO IEA,IDA,IMP,IEA,IMP,ISO IEA,ISO IEA,ISO,ISO IEA,IDA IBA,ISS ISO IEA,IMP IGI ISO IEA,IBA,ISO IEA,ISO IEA,ISO IEA,ISS ISO IEA,ISO,ISO IEA,ISO IEA,ISO IEA,IGI,ISO IEA,ISO IEA,IMP ISO IEA,IGI,ISO IEA,IEA","Ptprz1,Pgr,Cyp1b1,Itga2,Ptn,Apod,Igfbp5,Ptprt,Fgf2,Ptgs2,Ntn1,Wnt5b,Gli1,Abhd2,Alox12,Stc1,Myoc,Ednra,Thbs4,Tacr1,Wnt4,Timp1,Gas6,Wnt5a,Bcl6,Ngfr,Igf1,Jag1,Fgfr1,Mctp1,Kitl,Il1r1,Flrt2,Igfbp3,Bmp7,Ano6,Plau,Lpar1,Pfn2,Smoc2,Magi2,Ccl11,Fbln1,Prag1,Dcn,Reck,Ccl2,Nox4,Snai2,Cadm4,Serpine1,Csf1,Prox1,Hmox1,Sele,Selp,Enpp2,Vegfc,Emp2,Itgav,Tnf,Ttbk2,Serpinf1,Rhoc,Sulf1,Spred1,Ecm1,Prkca,Mapre2,Gcnt2,Epha4,Cd47,Anxa3,Sema6d,Jak2,Nf1,Sema7a,Mgat5,Ssh1,App,Hyal2,Il6st,Akt3,Mospd2,Adam10,Lrig2,Bmpr2,Mecp2,Prr5l,Il33,Gnai2,Rock2",8.77419404043932
"6onl_n","query_1",TRUE,6.8583821880996e-09,967,695,93,0.133812949640288,0.0961737331954498,"GO:0040012","GO:BP","regulation of locomotion",18334,9900,"GO:0040011,GO:0050789","ISO,ISO,IMP ISO IEA,ISO IEA,IMP ISS ISO,ISS ISO IEA,ISO IEA,ISO IEA,IDA ISS ISO IBA IEA,ISO IEA,IDA IMP ISS ISO,ISO IEA,ISO,IMP,ISO IEA,ISO IEA,ISS ISO IEA,ISO,ISO IEA,ISO IBA IEA,IGI,ISO IEA,ISO IEA,IGI ISO IEA,IMP,ISO IEA,ISO IEA,ISO IEA,ISO IEA,ISO IEA,IDA,IMP ISO,IGI,ISO IEA,IGI,IMP ISO IEA,ISO IEA,ISO IEA,IMP ISO IEA,ISO IEA,ISS ISO,ISO IEA,ISO IEA,ISS ISO IEA,ISO IEA,ISO IEA,IDA ISO IEA,ISO,ISO IC IEA,IMP ISO IEA,IEA,IGI ISO IEA,ISO IEA,ISO IEA,IMP IGI,IMP IGI ISO,ISO IEA,IDA ISO IBA IEA,ISS ISO IEA,IMP,ISO IEA,ISO IEA,ISO IEA,ISO IEA,ISS ISO IEA,IDA,IMP,IEA,IMP,ISO IEA,ISO IEA,ISO,ISO IEA,IDA IBA,ISS ISO IEA,IMP IGI ISO IEA,IBA,ISO IEA,ISO IEA,ISO IEA,ISS ISO IEA,ISO,IEA,ISO IEA,ISO IEA,ISO IEA,IGI,IMP ISO IEA,ISO IEA,IMP ISO IEA,IGI,ISO IEA,IEA","Ptprz1,Pgr,Cyp1b1,Itga2,Ptn,Apod,Igfbp5,Ptprt,Fgf2,Ptgs2,Ntn1,Wnt5b,Gli1,Abhd2,Alox12,Stc1,Myoc,Ednra,Thbs4,Tacr1,Wnt4,Timp1,Gas6,Wnt5a,Bcl6,Ngfr,Igf1,Jag1,Fgfr1,Mctp1,Kitl,Il1r1,Flrt2,Igfbp3,Bmp7,Ano6,Plau,Lpar1,Pfn2,Smoc2,Magi2,Ccl11,Fbln1,Prag1,Dcn,Reck,Ccl2,Nox4,Snai2,Cadm4,Serpine1,Csf1,Prox1,Hmox1,Sele,Selp,Enpp2,Vegfc,Emp2,Itgav,Tnf,Ttbk2,Serpinf1,Rhoc,Sulf1,Spred1,Ecm1,Prkca,Mapre2,Gcnt2,Epha4,Cd47,Anxa3,Sema6d,Jak2,Nf1,Sema7a,Mgat5,Ssh1,App,Hyal2,Il6st,Sema5a,Akt3,Mospd2,Adam10,Lrig2,Bmpr2,Mecp2,Prr5l,Il33,Gnai2,Rock2",8.1637783171858
